guests,bedrooms,beds,baths,rating,reviews,is_superhost_no,is_superhost_yes,wifi_yes,kitchen_no,kitchen_yes,parking_no,parking_yes,pool_no,pool_yes,shared_bath_no,shared_bath_yes
3,2,2,1.0,4.8,5,0,1,1,0,1,0,1,0,1,1,0
2,1,1,1.0,5.0,13,0,1,1,0,1,0,1,1,0,1,0
2,1,1,1.5,4.5,101,1,0,1,0,1,0,1,1,0,1,0
2,1,1,1.5,5.0,20,1,0,1,0,1,0,1,0,1,1,0
2,1,1,1.5,5.0,26,0,1,1,0,1,0,1,0,1,1,0
2,1,1,1.0,5.0,6,0,1,1,0,1,0,1,0,1,1,0
2,1,1,1.0,0.0,0,0,1,1,0,1,0,1,0,1,1,0
2,1,1,1.5,0.0,0,0,1,1,0,1,0,1,1,0,1,0
2,1,1,2.0,4.7,33,1,0,1,0,1,0,1,1,0,1,0
2,1,1,1.0,4.6,87,1,0,1,0,1,0,1,1,0,1,0
2,0,1,1.0,5.0,8,0,1,1,0,1,0,1,1,0,1,0
2,0,1,1.0,4.92,24,0,1,1,0,1,0,1,0,1,1,0
2,0,1,1.0,4.9,10,1,0,1,0,1,0,1,0,1,1,0
2,1,1,1.0,5.0,6,0,1,1,0,1,0,1,1,0,1,0
5,2,2,2.0,0.0,0,1,0,1,0,1,0,1,0,1,1,0
2,1,1,1.0,4.86,7,1,0,1,0,1,0,1,0,1,1,0
1,1,1,1.0,4.94,63,0,1,1,0,1,0,1,1,0,1,0
2,0,1,1.5,0.0,0,1,0,1,0,1,0,1,0,1,1,0
2,1,1,1.0,4.84,43,0,1,1,0,1,0,1,1,0,1,0
4,2,2,2.0,0.0,0,1,0,1,0,1,0,1,1,0,1,0
2,2,2,1.0,0.0,0,1,0,1,0,1,0,1,1,0,1,0
2,1,1,1.0,4.89,63,0,1,1,0,1,0,1,1,0,1,0
2,1,1,1.5,0.0,0,1,0,1,0,1,0,1,0,1,1,0
2,0,1,1.0,5.0,13,0,1,1,0,1,0,1,0,1,1,0
3,1,1,1.0,0.0,0,1,0,1,0,1,0,1,1,0,1,0
2,0,1,1.0,4.67,6,1,0,1,0,1,0,1,1,0,1,0
2,0,1,1.0,4.63,19,0,1,1,0,1,0,1,0,1,1,0
2,1,1,1.0,4.43,7,1,0,1,0,1,0,1,0,1,1,0
2,1,1,1.0,4.75,4,1,0,1,0,1,0,1,0,1,1,0
2,1,0,1.5,0.0,0,0,1,1,0,1,0,1,1,0,1,0
2,1,1,1.5,4.77,22,0,1,1,0,1,0,1,1,0,1,0
2,1,1,1.0,0.0,0,1,0,1,0,1,0,1,1,0,1,0
