feature,coef,coef_abs
shared_bath_no,8.649625626132707,8.649625626132707
shared_bath_yes,-8.649625626132703,8.649625626132703
baths,7.122100568989671,7.122100568989671
bedrooms,6.0151417608016535,6.0151417608016535
parking_yes,4.358201465982507,4.358201465982507
parking_no,-4.358201465982506,4.358201465982506
kitchen_yes,-3.9653524920739636,3.9653524920739636
kitchen_no,3.965352492073961,3.965352492073961
pool_no,-3.2473902950215057,3.2473902950215057
pool_yes,3.2473902950215057,3.2473902950215057
is_superhost_yes,1.5793356357364836,1.5793356357364836
is_superhost_no,-1.5793356357364792,1.5793356357364792
beds,1.375055079496373,1.375055079496373
guests,-0.6572080128805625,0.6572080128805625
rating,0.5947713621796193,0.5947713621796193
reviews,-0.011434429329849394,0.011434429329849394
wifi_yes,-1.7763568394002505e-15,1.7763568394002505e-15
